Rand,Sequence,File,Song Title,,Artist,Year Released,Question,Answer
,,137,Crimson and Clover,,Tommy James and the Shondells,1969,Tommy James was paid very few royalties on his music until after 1990 due to this reason.,The record company was a front for mob activity and the owner was convicted of fraud
,,138,Aquarius/Let the Sunshine In,,The 5th Dimension,1969,This song was a medley of two songs from which Broadway musical,Hair
,,139,In the Year 2525,,Zager and Evans ,1969,The song was recorded at a private studio in the middle of a cow lot in which US state,Texas (Odessa)
,,140,"Sugar, Sugar",,The Archies,1969,"The Archies were a purely fictional band, made up of studio musicians and singers led by legendary producer Don Kirshner. One of the vocalists, Andy Kim, had this #1 single several years later.",Rock me gently
,,141,Proud Mary,,Creedence Clearwater Revival,1969,"This was the first of 5 singles by the band, all to chart at the what position on the chart.",#2
,,142,Wichita Lineman,,Glen Campbell,1969,"Where was Jimmy Webb, the songwriter, traveling when he got the inspiration for this song?","Washita County, Oklahoma"
,,143,Raindrops Keep Fallin' on My Head,,BJ Thomas,1970,This song won an Oscar for best original song. What movie was it featured in?,Butch Cassidy and the Sundance Kid
,,144,ABC,,Jackson Five,1970,Which instrument did Jermaine Jackson play on the studio version of the song?,None. Although he was the band's bassist for live performances
,,145,War,,Edwin Starr,1970,The song was banned for some time by Clear Channel Radio company following what event?,The 9/11 attacks
,,146,I Think I Love You,,Partridge Family,1970,What was David Cassidy's character name on the show?,Keith
,,147,Spill the Wine,,Eric Burdon and War,1970,How many hit songs did War have with Eric Burdon as the lead singer?,1
,,148,Fire and Rain ,,James Taylor,1970,What event led to the writing of the song,Suicide of a friend (mentioned in the song as Suzanne)
,,149,25 or 6 to 4,,Chicago,1970,What does the title of the song refer to?,The time in the morning the events take place (3:34 or 3:35AM)
,,150,It's Too Late,,Carole King,1971,"The song was unusually placed with this other on the A-side of the single, which also hit the charts.",I feel the earth move
,,151,Uncle Albert,,Paul & Linda McCartney,1971,The official title mentions another man's name. What was it?,Admiral Halsey
,,152,Brand New Key,,Melanie,1971,The song is also referred to under which alternate title?,The Rollerskate Song
,,153,Rose Garden,,Lynn Anderson,1971,"Lynn Anderson had some success as a singer, but it wasn't until she joined the cast of this popular television show did her career take off.",Lawrence Welk show
,,154,Ain't No Sunshine,,Bill Withers,1971,Bill repeats this phrase 26 times in the song,I know
,,155,American Pie ,,Don Mclean,1971,What 3 stars died on the day the music died?,"Buddy Holly, Big Bopper, Richie Valens"
,,156,Ben,,Michael Jackson,1972,"The song was from the movie of the same name, which was a spinoff of which horror flick?",Willard
,,157,Papa Was a Rollin' Stone,,Temptations,1972,This song was unusual for #1 hits at the time due to its…,… length at more than 12 minutes
,,158,I'd Love You to Want Me,,Lobo,1972,Lobo is a spanish word for what,Wolf
,,159,Crocodile Rock,,Elton John,1973,Which Elton John album was this song originally written and recorded for but withheld until 'Don't Shoot me…',Honky Chateau
,,160,Do It Again ,,Steely Dan,1973,Where did the name Steely Dan originate,"It's the name of a sex toy in William Burroughs novel ""The Naked Lunch"""
,,161,Frankenstein ,,Edgar Winter Group,1973,"An instrumental, how did this song get its title?","It was taped together from so many takes, that it seemed like frankensteins monster"
,,162,The Morning After ,,Maureen McGovern,1973,This song won an Oscar for best song from which movie?,The Poseiden Adventure
,,163,Angie,,The Rolling Stones,1973,Who was the Angie immortalized in this song?,Keith Richard's baby daughter
,,164,The Joker,,Steve Miller Band ,1973,"The singer says he speaks the ""pompatus of love"". What is pompatus?","Nothing, it was a made up word."
,,165,You're Sixteen,,Ringo Starr,1974,This song had Starr reuniting with which of his former band mates?,Paul
,,166,Hooked on a Feeling,,Blue Swede,1974,This band was indeed Swedish but changed their name to something Americans could pronounce. The name of the band in Swedish was that of this commonly worn piece of clothing.,Blue denim shirt
,,167,Rock the Boat ,,The Hues Corporation ,1974,This song is commonly used at weddings in which country to get the guests out of their seats and onto the dance floor?,Ireland
,,168,The Night Chicago Died,,Paper Lace,1974,This tune describes which famous event in Chicago history,The Valentines Day Massacre
,,169,Nothing from Nothing,,Billy Preston,1974,Preston played this song in the first episode of this long-running TV show,Saturday Night Live
,,170,Please Mr. Postman,,The Carpenters,1975,"Previously recorded by the Beatles, the Carpenters version surpassed the previous version by going to #1. How high did the Beatles' version chart?",It didn't chart at all.
,,171,Lady Marmalade,,Labelle,1975,This song was recorded by legendary producer Allen Touissant. Where was the studio where they recorded the song?,New Orleans
,,172,Wasted Days and Wasted Nights,,Freddy Fender,1975,"Fender also recorded the tune in Spanish with the title ""Noches y dias perdidos"" which means what?",Lost days and nights
,,173,Sister Golden Hair,,America,1975,Gerry Beckley of the band said he wrote this song because he wanted to write a song in the style of this well-known Southern California singer-songwriter.,Jackson Browne
,,174,Jive Talking,174.mp3,Bee Gees,1975,What is the origin of the bands' name?,BGs = Brothers Gibb
,,175,One of These Nights,,The Eagles,1975,The band said they recorded this song to get out of what creative rut?,Playing nothing but slow country-rock ballads
